"objective","budget","k","k_bis","constraint","package.cost","package.deaths","package.che.10","package.che.25","package.E"
"delta.deaths",10000000,0,0,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0,0.0378359518812001,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0,0.0756719037624002,"<=",9448280.91328106,2824.01381194084,0.0132910686263967,0.0079379006678718,0.135093535903612
"delta.deaths",10000000,0,0.1135078556436,"<=",9448280.91328106,2824.01381194084,0.0132910686263967,0.0079379006678718,0.135093535903612
"delta.deaths",10000000,0,0.1513438075248,"<=",9866949.79669615,2566.43325882835,0.0136583047674463,0.00808162434211519,0.163856088861771
"delta.deaths",10000000,0,0.189179759406001,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.227015711287201,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.264851663168401,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.302687615049601,"<=",0,0,0,0,0
"delta.deaths",10000000,0,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.00781350920345374,0,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0.00781350920345374,0.0378359518812001,"<=",9968633.38947294,2863.25963481754,0.0137337629011276,0.00793863087654332,0.0791977161384057
"delta.deaths",10000000,0.00781350920345374,0.0756719037624002,"<=",9448280.91328106,2824.01381194084,0.0132910686263967,0.0079379006678718,0.135093535903612
"delta.deaths",10000000,0.00781350920345374,0.1135078556436,"<=",9448280.91328106,2824.01381194084,0.0132910686263967,0.0079379006678718,0.135093535903612
"delta.deaths",10000000,0.00781350920345374,0.1513438075248,"<=",9866949.79669615,2566.43325882835,0.0136583047674463,0.00808162434211519,0.163856088861771
"delta.deaths",10000000,0.00781350920345374,0.189179759406001,"<=",0,0,0,0,0
"delta.deaths",10000000,0.00781350920345374,0.227015711287201,"<=",0,0,0,0,0
"delta.deaths",10000000,0.00781350920345374,0.264851663168401,"<=",0,0,0,0,0
"delta.deaths",10000000,0.00781350920345374,0.302687615049601,"<=",0,0,0,0,0
"delta.deaths",10000000,0.00781350920345374,0.340523566930801,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.0378359518812001,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.0756719037624002,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.1135078556436,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.1513438075248,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.189179759406001,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.227015711287201,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.264851663168401,"<=",0,0,0,0,0
"delta.deaths",10000000,0.0156270184069075,0.302687615049601,"<=",0,0,0,0,0
