"int_n","objective","budget","fund"
16,"E",1000000,0
17,"E",1000000,0
18,"E",1000000,0
19,"E",1000000,1
20,"E",1000000,0
1,"E.LB",1000000,0
2,"E.LB",1000000,0
3,"E.LB",1000000,0
4,"E.LB",1000000,0
5,"E.LB",1000000,0
6,"E.LB",1000000,0
7,"E.LB",1000000,0
8,"E.LB",1000000,0
9,"E.LB",1000000,0
10,"E.LB",1000000,0
11,"E.LB",1000000,0
12,"E.LB",1000000,0
13,"E.LB",1000000,0
14,"E.LB",1000000,0
15,"E.LB",1000000,0
16,"E.LB",1000000,0
17,"E.LB",1000000,0
18,"E.LB",1000000,0
19,"E.LB",1000000,0
20,"E.LB",1000000,0
1,"E.UB",1000000,0
2,"E.UB",1000000,0
3,"E.UB",1000000,0
4,"E.UB",1000000,0
5,"E.UB",1000000,1
6,"E.UB",1000000,1
7,"E.UB",1000000,0
8,"E.UB",1000000,0
9,"E.UB",1000000,0
10,"E.UB",1000000,0
11,"E.UB",1000000,1
12,"E.UB",1000000,0
13,"E.UB",1000000,0
14,"E.UB",1000000,0
15,"E.UB",1000000,0
16,"E.UB",1000000,0
17,"E.UB",1000000,0
18,"E.UB",1000000,0
19,"E.UB",1000000,1
20,"E.UB",1000000,0
1,"delta.deaths",6210526.31578947,0
2,"delta.deaths",6210526.31578947,0
3,"delta.deaths",6210526.31578947,0
4,"delta.deaths",6210526.31578947,0
5,"delta.deaths",6210526.31578947,1
6,"delta.deaths",6210526.31578947,1
7,"delta.deaths",6210526.31578947,0
8,"delta.deaths",6210526.31578947,0
9,"delta.deaths",6210526.31578947,0
10,"delta.deaths",6210526.31578947,0
11,"delta.deaths",6210526.31578947,1
12,"delta.deaths",6210526.31578947,1
13,"delta.deaths",6210526.31578947,0
14,"delta.deaths",6210526.31578947,0
15,"delta.deaths",6210526.31578947,0
16,"delta.deaths",6210526.31578947,0
17,"delta.deaths",6210526.31578947,0
18,"delta.deaths",6210526.31578947,1
19,"delta.deaths",6210526.31578947,1
20,"delta.deaths",6210526.31578947,0
1,"che.10",6210526.31578947,0
2,"che.10",6210526.31578947,0
3,"che.10",6210526.31578947,0
4,"che.10",6210526.31578947,0
5,"che.10",6210526.31578947,1
6,"che.10",6210526.31578947,1
7,"che.10",6210526.31578947,0
8,"che.10",6210526.31578947,0
9,"che.10",6210526.31578947,0
10,"che.10",6210526.31578947,0
11,"che.10",6210526.31578947,1
12,"che.10",6210526.31578947,1
13,"che.10",6210526.31578947,0
14,"che.10",6210526.31578947,0
15,"che.10",6210526.31578947,0
16,"che.10",6210526.31578947,0
17,"che.10",6210526.31578947,0
18,"che.10",6210526.31578947,1
19,"che.10",6210526.31578947,1
20,"che.10",6210526.31578947,0
1,"che.25",6210526.31578947,0
2,"che.25",6210526.31578947,0
3,"che.25",6210526.31578947,0
4,"che.25",6210526.31578947,0
5,"che.25",6210526.31578947,1
6,"che.25",6210526.31578947,1
7,"che.25",6210526.31578947,0
8,"che.25",6210526.31578947,0
9,"che.25",6210526.31578947,0
10,"che.25",6210526.31578947,0
11,"che.25",6210526.31578947,1
12,"che.25",6210526.31578947,1
13,"che.25",6210526.31578947,0
14,"che.25",6210526.31578947,0
15,"che.25",6210526.31578947,0
16,"che.25",6210526.31578947,0
17,"che.25",6210526.31578947,0
18,"che.25",6210526.31578947,1
19,"che.25",6210526.31578947,1
20,"che.25",6210526.31578947,0
1,"delta.deaths.LB",6210526.31578947,0
2,"delta.deaths.LB",6210526.31578947,0
3,"delta.deaths.LB",6210526.31578947,0
4,"delta.deaths.LB",6210526.31578947,0
5,"delta.deaths.LB",6210526.31578947,1
6,"delta.deaths.LB",6210526.31578947,1
7,"delta.deaths.LB",6210526.31578947,0
8,"delta.deaths.LB",6210526.31578947,0
9,"delta.deaths.LB",6210526.31578947,0
10,"delta.deaths.LB",6210526.31578947,0
11,"delta.deaths.LB",6210526.31578947,1
12,"delta.deaths.LB",6210526.31578947,1
13,"delta.deaths.LB",6210526.31578947,0
14,"delta.deaths.LB",6210526.31578947,0
15,"delta.deaths.LB",6210526.31578947,0
16,"delta.deaths.LB",6210526.31578947,1
17,"delta.deaths.LB",6210526.31578947,0
18,"delta.deaths.LB",6210526.31578947,1
19,"delta.deaths.LB",6210526.31578947,0
20,"delta.deaths.LB",6210526.31578947,0
1,"che.10.LB",6210526.31578947,0
2,"che.10.LB",6210526.31578947,0
3,"che.10.LB",6210526.31578947,0
4,"che.10.LB",6210526.31578947,0
5,"che.10.LB",6210526.31578947,1
6,"che.10.LB",6210526.31578947,1
7,"che.10.LB",6210526.31578947,0
8,"che.10.LB",6210526.31578947,0
9,"che.10.LB",6210526.31578947,0
10,"che.10.LB",6210526.31578947,0
11,"che.10.LB",6210526.31578947,1
12,"che.10.LB",6210526.31578947,1
13,"che.10.LB",6210526.31578947,0
14,"che.10.LB",6210526.31578947,0
15,"che.10.LB",6210526.31578947,0
16,"che.10.LB",6210526.31578947,0
17,"che.10.LB",6210526.31578947,0
18,"che.10.LB",6210526.31578947,1
19,"che.10.LB",6210526.31578947,1
20,"che.10.LB",6210526.31578947,0
1,"delta.deaths.UB",6210526.31578947,0
2,"delta.deaths.UB",6210526.31578947,0
3,"delta.deaths.UB",6210526.31578947,0
4,"delta.deaths.UB",6210526.31578947,0
5,"delta.deaths.UB",6210526.31578947,1
6,"delta.deaths.UB",6210526.31578947,1
7,"delta.deaths.UB",6210526.31578947,0
8,"delta.deaths.UB",6210526.31578947,0
9,"delta.deaths.UB",6210526.31578947,0
10,"delta.deaths.UB",6210526.31578947,1
